Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
LR535863.1_23787213	418	153	0.37
LR535863.1_22141745	14513	14059	0.97
LR535863.1_23891233	0	0	NA
LR535863.1_19950280	68597	60917	0.89
LR535863.1_23891236	72603	40177	0.55
LR535863.1_23671286	21775	17552	0.81
LR535868.1_7210974	98026	94975	0.97
LR535868.1_9078266	75395	73633	0.98
LR535868.1_7518118	86504	68633	0.79
LR535868.1_7201155	40988	39965	0.98
LR535868.1_6557542	59632	58486	0.98
LR535868.1_7513522	19839	7287	0.37
LR535868.1_9520718	32089	23740	0.74
LR535868.1_20349198	15968	15586	0.98
LR535868.1_20427288	30937	28070	0.91
LR535868.1_20203483	24530	23697	0.97
LR535868.1_21718463	6550	6437	0.98
LR535868.1_23075077	47406	46372	0.98
LR535868.1_19458073	16185	15748	0.97
LR535868.1_23966900	64603	57027	0.88
LR535868.1_21993947	51458	50263	0.98
LR535868.1_25026953	3817	3717	0.97
LR535868.1_22321840	31426	30457	0.97
LR535868.1_22749189	21853	20684	0.95
LR535871.1_9305671	89225	65614	0.74
LR535871.1_9432651	32714	31644	0.97
LR535871.1_9293907	79287	76946	0.97
LR535871.1_7381486	12985	12654	0.97
LR535871.1_4759669	350339	72051	0.21
LR535871.1_16067139	8917	7590	0.85
LR535871.1_10237260	39713	38053	0.96
LR535876.1_3369030	33456	32759	0.98
LR535876.1_3456368	99862	107	0.00
LR535876.1_1928976	53574	52206	0.97
LR535876.1_2207022	33706	32860	0.97
LR535876.1_3297763	8320	8060	0.97
LR535876.1_3348343	37497	35801	0.95
LR535876.1_1970918	5518	5387	0.98
LR535876.1_3078854	50467	34	0.00
LR535876.1_3529578	4336	4172	0.96
LR535876.1_2861863	38237	37007	0.97
LR535876.1_3455227	8358	8184	0.98
LR535876.1_3165040	20387	19824	0.97
LR535876.1_2270510	7522	0	0.00
LR535876.1_2840139	30161	29471	0.98
LR535864.1_10164028	180879	12362	0.07
LR535864.1_10302599	18892	18398	0.97
LR535864.1_10234804	47074	44944	0.95
LR535864.1_10232564	76302	73634	0.97
LR535864.1_10251794	114589	66771	0.58
LR535860.1_13882434	21243	20644	0.97
LR535860.1_7443279	4726	1609	0.34
LR535860.1_13367999	60182	53984	0.90
LR535861.1_9666352	61859	55894	0.90
LR535861.1_9413850	47424	33350	0.70
LR535861.1_9846574	20948	19917	0.95
LR535861.1_9702915	94036	7085	0.08
LR535862.1_12015502	30073	29390	0.98
LR535862.1_12060259	39153	37885	0.97
LR535862.1_12084298	237323	217567	0.92
LR535862.1_12058250	18398	17767	0.97
LR535862.1_12086288	54397	52891	0.97
LR535877.1_6727814	22945	21986	0.96
LR535877.1_6746250	5174	4959	0.96
LR535877.1_8726376	33151	32248	0.97
LR535870.1_16600282	70447	68492	0.97
LR535877.1_2264183	97105	24731	0.25
LR535872.1_18605962	18938	16443	0.87
LR535875.1_5417178	16151	15673	0.97
LR535876.1_6545809	15358	13837	0.90
LR535881.1_4694989	34980	33398	0.95
LR535864.1_3704440	13703	13286	0.97
LR535876.1_6036016	17990	28	0.00
LR535858.1_11923489	1372841	33780	0.02
LR535878.1_18974728	27176	26420	0.97
LR535871.1_21013209	9201	0	0.00
LR535874.1_25988612	116735	111380	0.95
LR535857.1_1354430	13237	10539	0.80
LR535859.1_19108118	16276	15231	0.94
LR535878.1_4862410	18510	17765	0.96
LR535861.1_6693153	11023	5	0.00
LR535880.1_8175648	8304	6061	0.73
LR535869.1_26493674	24878	22506	0.90
LR535867.1_29896974	9563	5580	0.58
LR535867.1_29897959	14436	6205	0.43
LR535870.1_18365646	15871	15378	0.97
LR535870.1_18366201	16504	9390	0.57
LR535870.1_18390452	26451	25843	0.98
LR535877.1_1260953	12779	12301	0.96
LR535861.1_26780647	36562	35652	0.98
LR535869.1_15522960	27052	26551	0.98
LR535869.1_15770933	12810	12566	0.98
LR535875.1_21544539	22157	12404	0.56
LR535875.1_21549825	5086	4956	0.97
LR535881.1_6554082	30506	28391	0.93
LR535881.1_6820053	41068	22	0.00
LR535865.1_8064042	39538	12092	0.31
LR535865.1_8078160	18238	17511	0.96
LR535874.1_14022758	140834	68	0.00
LR535875.1_21549020	26026	18487	0.71
LR535875.1_21550691	10418	10180	0.98
LR535866.1_17342652	35131	34442	0.98
LR535866.1_17657465	15169	12977	0.86
LR535869.1_12798692	18123	16275	0.90
LR535881.1_12586802	74396	70235	0.94
LR535881.1_12660233	26110	24885	0.95
LR535866.1_15103118	66666	62120	0.93
LR535870.1_17833493	42601	41354	0.97
LR535870.1_18559566	37499	35422	0.94
LR535869.1_15305932	26842	26014	0.97
LR535866.1_15182455	49125	47621	0.97
LR535866.1_15116656	55763	54571	0.98
LR535869.1_15310551	54234	53100	0.98
LR535869.1_15295548	15371	10	0.00
LR535866.1_15093138	16659	16364	0.98
LR535866.1_15298502	24995	24223	0.97
LR535867.1_12407532	72880	70353	0.97
LR535866.1_15096923	63633	61951	0.97
LR535870.1_17679299	50536	49069	0.97
LR535866.1_15236727	28527	24694	0.87
LR535866.1_15234455	28982	28154	0.97
LR535870.1_19779248	6618	6449	0.97
LR535865.1_15338774	36705	35404	0.96
LR535869.1_9975614	54030	51813	0.96
LR535865.1_8404782	52617	51298	0.97
LR535865.1_8383859	20692	19994	0.97
LR535874.1_16261930	43257	40963	0.95
LR535869.1_9973684	24755	24227	0.98
LR535874.1_12379307	21754	20592	0.95
LR535869.1_9826167	20258	19836	0.98
LR535867.1_10130847	32175	29497	0.92
LR535865.1_9050843	29597	27751	0.94
LR535870.1_19467020	29314	20236	0.69
LR535870.1_19467029	32037	30564	0.95
LR535870.1_19284016	47162	45934	0.97
LR535869.1_10078275	85	0	0.00
LR535866.1_19934320	8517	7125	0.84
LR535869.1_10081219	30801	27362	0.89
LR535870.1_19236501	48660	47135	0.97
LR535869.1_10155143	94033	57905	0.62
LR535869.1_10005649	43776	42623	0.97
LR535866.1_19775941	87726	35012	0.40
LR535877.1_461477	15	13	0.87
LR535877.1_227540	138073	131297	0.95
LR535863.1_19668756	56985	54906	0.96
LR535863.1_19722006	22	4	0.18
LR535863.1_19793660	202	2	0.01
LR535863.1_20325254	3	0	0.00
LR535863.1_20770240	29	3	0.10
LR535863.1_23339309	53667	23	0.00
LR535863.1_23339311	0	0	NA
