Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
LR535863.1_23787213	7515	156	0.02
LR535863.1_22141745	14750	14205	0.96
LR535863.1_23891233	74881	4	0.00
LR535863.1_19950280	80566	60771	0.75
LR535863.1_23891236	0	0	NA
LR535863.1_23671286	21936	17371	0.79
LR535868.1_7210974	98780	335	0.00
LR535868.1_9078266	76036	73210	0.96
LR535868.1_7518118	87719	67956	0.77
LR535868.1_7201155	41745	40014	0.96
LR535868.1_6557542	60142	58200	0.97
LR535868.1_7513522	20249	7321	0.36
LR535868.1_9520718	32529	23639	0.73
LR535868.1_20349198	16411	15533	0.95
LR535868.1_20427288	31231	28066	0.90
LR535868.1_20203483	24806	23792	0.96
LR535868.1_21718463	6601	6406	0.97
LR535868.1_23075077	47980	46680	0.97
LR535868.1_19458073	17787	2	0.00
LR535868.1_23966900	65297	0	0.00
LR535868.1_21993947	51929	50524	0.97
LR535868.1_25026953	3850	3732	0.97
LR535868.1_22321840	31789	29558	0.93
LR535868.1_22749189	22331	20667	0.93
LR535871.1_9305671	89974	65840	0.73
LR535871.1_9432651	34362	31309	0.91
LR535871.1_9293907	79960	76492	0.96
LR535871.1_7381486	13067	12597	0.96
LR535871.1_4759669	353269	71367	0.20
LR535871.1_16067139	8990	7489	0.83
LR535871.1_10237260	41524	37993	0.91
LR535876.1_3369030	33719	32830	0.97
LR535876.1_3456368	101298	102	0.00
LR535876.1_1928976	54442	52296	0.96
LR535876.1_2207022	34074	32729	0.96
LR535876.1_3297763	8404	0	0.00
LR535876.1_3348343	38206	35982	0.94
LR535876.1_1970918	5825	5286	0.91
LR535876.1_3078854	50988	47	0.00
LR535876.1_3529578	4448	4162	0.94
LR535876.1_2861863	38569	37105	0.96
LR535876.1_3455227	8400	8183	0.97
LR535876.1_3165040	20518	19536	0.95
LR535876.1_2270510	7572	1	0.00
LR535876.1_2840139	30436	29527	0.97
LR535864.1_10164028	182201	12344	0.07
LR535864.1_10302599	19147	18356	0.96
LR535864.1_10234804	47527	0	0.00
LR535864.1_10232564	76973	73509	0.95
LR535864.1_10251794	115547	66593	0.58
LR535860.1_13882434	21419	20362	0.95
LR535860.1_7443279	4761	1603	0.34
LR535860.1_13367999	62209	52656	0.85
LR535861.1_9666352	62676	55881	0.89
LR535861.1_9413850	48094	33097	0.69
LR535861.1_9846574	22642	19948	0.88
LR535861.1_9702915	241317	5274	0.02
LR535862.1_12015502	51198	29225	0.57
LR535862.1_12060259	39491	38120	0.97
LR535862.1_12084298	239786	217103	0.91
LR535862.1_12058250	18651	17639	0.95
LR535862.1_12086288	54919	52831	0.96
LR535877.1_6727814	23768	21814	0.92
LR535877.1_6746250	5201	0	0.00
LR535877.1_8726376	33449	1	0.00
LR535870.1_16600282	71049	67057	0.94
LR535877.1_2264183	97861	24442	0.25
LR535872.1_18605962	19325	135	0.01
LR535875.1_5417178	16259	15341	0.94
LR535876.1_6545809	15466	13815	0.89
LR535881.1_4694989	35237	33039	0.94
LR535864.1_3704440	13797	13346	0.97
LR535876.1_6036016	18637	30	0.00
LR535858.1_11923489	1418497	33349	0.02
LR535878.1_18974728	27467	26221	0.95
LR535871.1_21013209	9266	6	0.00
LR535874.1_25988612	117814	111522	0.95
LR535857.1_1354430	13335	0	0.00
LR535859.1_19108118	16427	15278	0.93
LR535878.1_4862410	18679	0	0.00
LR535861.1_6693153	25061	5	0.00
LR535880.1_8175648	8563	6207	0.72
LR535869.1_26493674	354614	22408	0.06
LR535867.1_29896974	9632	5596	0.58
LR535867.1_29897959	14545	6126	0.42
LR535870.1_18365646	16139	0	0.00
LR535870.1_18366201	17214	9367	0.54
LR535870.1_18390452	26647	25782	0.97
LR535877.1_1260953	12878	12240	0.95
LR535861.1_26780647	434382	35476	0.08
LR535869.1_15522960	29199	26667	0.91
LR535869.1_15770933	13037	12562	0.96
LR535875.1_21544539	164296	12474	0.08
LR535875.1_21549825	5127	4955	0.97
LR535881.1_6554082	34682	28536	0.82
LR535881.1_6820053	41932	0	0.00
LR535865.1_8064042	39844	12139	0.30
LR535865.1_8078160	18364	17207	0.94
LR535874.1_14022758	145895	118	0.00
LR535875.1_21549020	26195	1	0.00
LR535875.1_21550691	10558	10242	0.97
LR535866.1_17342652	35380	34095	0.96
LR535866.1_17657465	16043	12993	0.81
LR535869.1_12798692	18336	16309	0.89
LR535881.1_12586802	75881	3	0.00
LR535881.1_12660233	26352	24898	0.94
LR535866.1_15103118	78647	37464	0.48
LR535870.1_17833493	43017	41126	0.96
LR535870.1_18559566	37853	1	0.00
LR535869.1_15305932	27010	25602	0.95
LR535866.1_15182455	49535	46948	0.95
LR535866.1_15116656	56250	54640	0.97
LR535869.1_15310551	54707	50930	0.93
LR535869.1_15295548	15515	0	0.00
LR535866.1_15093138	16946	16355	0.97
LR535866.1_15298502	36757	24218	0.66
LR535867.1_12407532	74467	1	0.00
LR535866.1_15096923	65702	61966	0.94
LR535870.1_17679299	53259	48737	0.92
LR535866.1_15236727	126173	24126	0.19
LR535866.1_15234455	32999	27984	0.85
LR535870.1_19779248	42487	6446	0.15
LR535865.1_15338774	37291	35562	0.95
LR535869.1_9975614	56574	51721	0.91
LR535865.1_8404782	58496	51502	0.88
LR535865.1_8383859	21248	0	0.00
LR535874.1_16261930	196291	0	0.00
LR535869.1_9973684	25984	23663	0.91
LR535874.1_12379307	268700	20324	0.08
LR535869.1_9826167	20426	19702	0.96
LR535867.1_10130847	32387	9	0.00
LR535865.1_9050843	29821	0	0.00
LR535870.1_19467020	29629	0	0.00
LR535870.1_19467029	32320	0	0.00
LR535870.1_19284016	48122	46242	0.96
LR535869.1_10078275	3775	0	0.00
LR535866.1_19934320	8572	5	0.00
LR535869.1_10081219	31027	27245	0.88
LR535870.1_19236501	50023	47269	0.94
LR535869.1_10155143	94986	57751	0.61
LR535869.1_10005649	44079	41751	0.95
LR535866.1_19775941	89450	0	0.00
LR535877.1_461477	46	14	0.30
LR535877.1_227540	162216	130893	0.81
LR535863.1_19668756	57547	0	0.00
LR535863.1_19722006	38257	0	0.00
LR535863.1_19793660	42110	0	0.00
LR535863.1_20325254	1010	969	0.96
LR535863.1_20770240	518	6	0.01
LR535863.1_23339309	0	0	NA
LR535863.1_23339311	54388	0	0.00
